# Habitat mask points exported from tmp
# Wed Nov 06 8:22:04 a.m. 2019 
x y c1 c2
342.11 268.67 0.136583580169827 0.531528615858406
349.45 268.67 0.466100025689229 0.0380672528408468
356.8 268.67 0.112853581318632 0.949976186733693
364.14 268.67 0.932084171567112 0.986429731594399
371.48 268.67 0.00975106353871524 0.637365456437692
378.83 268.67 0.434377927333117 0.347701402148232
386.17 268.67 0.366285158321261 0.325096705229953
393.52 268.67 0.833913596812636 0.77135807601735
400.86 268.67 0.570116416551173 0.66000637691468
408.2 268.67 0.981165551347658 0.188598278677091
415.55 268.67 0.308405337389559 0.526269437046722
422.89 268.67 0.174655361799523 0.923151022288948
430.23 268.67 0.046025347430259 0.933194721350446
437.58 268.67 0.299323140876368 0.435613108566031
444.92 268.67 0.463115992024541 0.122392137767747
452.27 268.67 0.487493345979601 0.859213998075575
459.61 268.67 0.84974323422648 0.275694464566186
466.95 268.67 0.24813108262606 0.788562454981729
474.3 268.67 0.441317795543 0.0962656829506159
481.64 268.67 0.474457260686904 0.747893651714548
488.98 268.67 0.352543961023912 0.725194519618526
496.33 268.67 0.735268978402019 0.739847273100168
503.67 268.67 0.422840841580182 0.751743321539834
511.02 268.67 0.663857033941895 0.268363193841651
518.36 268.67 0.281245984137058 0.32367722177878
525.7 268.67 0.771957063581795 0.680488383630291
533.05 268.67 0.784396563190967 0.509009384317324
540.39 268.67 0.0910164476372302 0.410875654313713
547.73 268.67 0.665616757702082 0.763366380240768
555.08 268.67 0.228528975043446 0.0980577492155135
562.42 268.67 0.464279919164255 0.224736152682453
569.77 268.67 0.501165306661278 0.883334941696376
577.11 268.67 0.41615828499198 0.316459914436564
584.45 268.67 0.779683355242014 0.91246912162751
591.8 268.67 0.60931204026565 0.569156692828983
599.14 268.67 0.572607182199135 0.165391806745902
606.48 268.67 0.39258675603196 0.282185544725507
613.83 268.67 0.325290298787877 0.474968240829185
621.17 268.67 0.347955313976854 0.00934730563312769
628.52 268.67 0.387264470336959 0.920677721034735
635.86 268.67 0.713358885841444 0.83758849860169
643.2 268.67 0.93748486158438 0.786041170125827
650.55 268.67 0.31979727325961 0.826642827363685
657.89 268.67 0.879562121815979 0.371325829531997
320.08 276.02 0.357890903949738 0.425311165861785
327.42 276.02 0.184074182063341 0.713547391584143
334.77 276.02 0.00438483245670795 0.852156477048993
342.11 276.02 0.861623688833788 0.843508808873594
349.45 276.02 0.15843859128654 0.531159573700279
356.8 276.02 0.865978257497773 0.86712218541652
364.14 276.02 0.731102703837678 0.440644193906337
371.48 276.02 0.989263224881142 0.0129564062226564
378.83 276.02 0.111815203679726 0.69379469146952
386.17 276.02 0.957962412852794 0.610128853702918
393.52 276.02 0.87664398830384 0.0173984882421792
400.86 276.02 0.152519601630047 0.104323378764093
408.2 276.02 0.411573722260073 0.651746567105874
415.55 276.02 0.0316358001437038 0.879324278095737
422.89 276.02 0.0965071185491979 0.692112309858203
430.23 276.02 0.13362282817252 0.151483838213608
437.58 276.02 0.297760005807504 0.117271544178948
444.92 276.02 0.367065074155107 0.936441713245586
452.27 276.02 0.534451059764251 0.998511832207441
459.61 276.02 0.580537217669189 0.344577450538054
466.95 276.02 0.900208775186911 0.646834127604961
474.3 276.02 0.74065200984478 0.767983042169362
481.64 276.02 0.588227703701705 0.6199495641049
488.98 276.02 0.506871707504615 0.0962475368287414
496.33 276.02 0.379242671653628 0.589084526523948
503.67 276.02 0.999083740403876 0.604077151510864
511.02 276.02 0.599424217361957 0.653818465769291
518.36 276.02 0.495298750698566 0.787099645705894
525.7 276.02 0.212201877497137 0.859801493119448
533.05 276.02 0.333630716428161 0.315024946816266
540.39 276.02 0.666892550187185 0.454623249359429
547.73 276.02 0.25999353104271 0.720544709358364
555.08 276.02 0.0990060619078577 0.213786735199392
562.42 276.02 0.391723141772673 0.447131447959691
569.77 276.02 0.896649071015418 0.0509036139119416
577.11 276.02 0.6270253052935 0.0437952319625765
584.45 276.02 0.437855579191819 0.423062562011182
591.8 276.02 0.478259145282209 0.0406519866082817
599.14 276.02 0.214492445578799 0.511243795510381
606.48 276.02 0.884287644177675 0.787196389399469
613.83 276.02 0.418510874267668 0.34128447342664
621.17 276.02 0.349873025203124 0.210713962558657
628.52 276.02 0.192054250976071 0.218422448961064
635.86 276.02 0.709256863221526 0.754118881188333
643.2 276.02 0.9640067438595 0.981240717228502
650.55 276.02 0.172682681819424 0.200384318362921
657.89 276.02 0.107971817487851 0.413973895600066
665.23 276.02 0.0931323384866118 0.313518837559968
672.58 276.02 0.330456418218091 0.747796308482066
679.92 276.02 0.861485290341079 0.750540347537026
312.73 283.36 0.228050498757511 0.412740021478385
320.08 283.36 0.106111512519419 0.670181560562924
327.42 283.36 0.760319938184693 0.299061574740335
334.77 283.36 0.658998294500634 0.0202954246196896
342.11 283.36 0.46279347804375 0.814578983932734
349.45 283.36 0.403847359819338 0.04923948016949
356.8 283.36 0.204221281222999 0.255830271635205
364.14 283.36 0.961775604868308 0.736781300278381
371.48 283.36 0.92064717062749 0.685201627900824
378.83 283.36 0.353279293281958 0.625662201317027
386.17 283.36 0.735409744549543 0.807663803221658
393.52 283.36 0.985712569206953 0.558801604900509
400.86 283.36 0.356872907606885 0.509068377781659
408.2 283.36 0.704246392706409 0.477688295766711
415.55 283.36 0.925900743808597 0.226955586113036
422.89 283.36 0.0678800016175956 0.797990001505241
430.23 283.36 0.681138165527955 0.294420301681384
437.58 283.36 0.357204988365993 0.942574032582343
444.92 283.36 0.597473200876266 0.84109745756723
452.27 283.36 0.849893587874249 0.939889539033175
459.61 283.36 0.169844990130514 0.997437171172351
466.95 283.36 0.921230134088546 0.821808480890468
474.3 283.36 0.368008590536192 0.0278119302820414
481.64 283.36 0.371955461334437 0.37163792969659
488.98 283.36 0.336868237936869 0.207855984801427
496.33 283.36 0.440862120361999 0.677128091687337
503.67 283.36 0.889676306862384 0.428389633772895
511.02 283.36 0.0476764291524887 0.972776691196486
518.36 283.36 0.461192975286394 0.138557172846049
525.7 283.36 0.381291033001617 0.741484202444553
533.05 283.36 0.432084146654233 0.936916797189042
540.39 283.36 0.00900730420835316 0.797804092057049
547.73 283.36 0.447941018035635 0.324877726612613
555.08 283.36 0.387298564426601 0.810062407283112
562.42 283.36 0.190602060640231 0.32661880296655
569.77 283.36 0.88944673538208 0.86738334200345
577.11 283.36 0.661440477240831 0.581353450426832
584.45 283.36 0.730663449503481 0.491901257541031
591.8 283.36 0.777334101963788 0.336004933342338
599.14 283.36 0.277345337206498 0.256953519070521
606.48 283.36 0.368299681460485 0.937521730316803
613.83 283.36 0.275036060251296 0.617340211058035
621.17 283.36 0.879126697778702 0.133885616902262
628.52 283.36 0.902815814362839 0.402640060521662
635.86 283.36 0.434571388876066 0.874193842057139
643.2 283.36 0.770871572429314 0.266749687725678
650.55 283.36 0.849970228271559 0.777343730209395
657.89 283.36 0.0334876037668437 0.814023294951767
665.23 283.36 0.280393275432289 0.670685923891142
672.58 283.36 0.61910544661805 0.558113351697102
679.92 283.36 0.49005074123852 0.152954266872257
687.27 283.36 0.608358900528401 0.585578713798895
305.39 290.7 0.782319984398782 0.691972619388252
312.73 290.7 0.148678142111748 0.723870113957673
320.08 290.7 0.283477345714346 0.492134999018162
327.42 290.7 0.411062543513253 0.869778114836663
334.77 290.7 0.145380646223202 0.0765340141952038
342.11 290.7 0.844130549579859 0.710049226880074
349.45 290.7 0.44618334970437 0.946296644629911
356.8 290.7 0.125198948429897 0.379825602285564
364.14 290.7 0.400853236671537 0.0904545600060374
371.48 290.7 0.000997667200863361 0.447588960640132
378.83 290.7 0.623856107005849 0.992021868238226
386.17 290.7 0.90668335952796 0.266560191754252
393.52 290.7 0.0774440194945782 0.299488391494378
400.86 290.7 0.0570400941651314 0.290845020441338
408.2 290.7 0.200550541048869 0.00847030570730567
415.55 290.7 0.242305710911751 0.414357287110761
422.89 290.7 0.549927372252569 0.639919526409358
430.23 290.7 0.987357836682349 0.0790941761806607
437.58 290.7 0.769795038737357 0.452100111171603
444.92 290.7 0.622392260935158 0.200640816474333
452.27 290.7 0.235561738954857 0.0233249731827527
459.61 290.7 0.874046334298328 0.0409388926345855
466.95 290.7 0.0905597140081227 0.785628309007734
474.3 290.7 0.00862458371557295 0.480319033144042
481.64 290.7 0.318205275572836 0.287462249631062
488.98 290.7 0.36007187794894 0.00874628336168826
496.33 290.7 0.728052894817665 0.323022492462769
503.67 290.7 0.103957310551777 0.789404932642356
511.02 290.7 0.548293781699613 0.986291092820466
518.36 290.7 0.64516947302036 0.225447702920064
525.7 290.7 0.350767639931291 0.238620350835845
533.05 290.7 0.998509430559352 0.593860689084977
540.39 290.7 0.0620607072487473 0.318125593708828
547.73 290.7 0.336119044804946 0.830502391560003
555.08 290.7 0.823347797151655 0.31799349701032
562.42 290.7 0.541119925444946 0.343867497285828
569.77 290.7 0.658517714357004 0.386981887742877
577.11 290.7 0.05641406821087 0.161580932326615
584.45 290.7 0.922681001713499 0.011149761499837
591.8 290.7 0.843153666006401 0.943282402819023
599.14 290.7 0.257970053236932 0.617232932941988
606.48 290.7 0.854327822104096 0.210580551298335
613.83 290.7 0.594034136738628 0.0280480803921819
621.17 290.7 0.650430173845962 0.475890803383663
628.52 290.7 0.0702782445587218 0.299907820299268
635.86 290.7 0.68027164763771 0.817720211111009
643.2 290.7 0.935749226249754 0.36664818925783
650.55 290.7 0.435917971888557 0.844883752288297
